,width,flickr_640_url,license,file_name,date_captured,coco_url,flickr_url,id,height
29,3120,,ODBL (c) OpenLitterMap & Contributors,unofficial/000029.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/09/11/hzDeWPSQ9DKVibd6iqdrjndHz4aDa297L9ux8BDr.jpeg,29,4160
30,3000,https://farm66.staticflickr.com/65535/49042781431_2b87ee10aa_z.jpg,CC,unofficial/000030.jpg,,,https://farm66.staticflickr.com/65535/49042781431_cb2b07a636_o.png,30,4000
31,2988,,ODBL (c) OpenLitterMap & Contributors,unofficial/000031.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/03/23/69Gp98UOFhPrui2CurMjNiVTAiJ4pGWtMMz48FNQ.jpeg,31,5312
32,1113,https://farm66.staticflickr.com/65535/50834132811_4a12c7eddb_z.jpg,CC,unofficial/000032.jpg,,,https://farm66.staticflickr.com/65535/50834132811_1527af8d7c_o.png,32,909
33,3120,,ODBL (c) OpenLitterMap & Contributors,unofficial/000033.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/04/22/DKULKnqGFc0i4BVY6MbYhsO6swvDILfz1CrZMRZJ.jpeg,33,4160
34,2048,,ODBL (c) OpenLitterMap & Contributors,unofficial/000034.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/15/6g0bjRd1fxHfZlfGf64tXNPyMVsyDmSWA77pvkok.jpeg,34,1536
35,3000,https://farm66.staticflickr.com/65535/49578891012_41d27fda1e_z.jpg,CC,unofficial/000035.jpg,,,https://farm66.staticflickr.com/65535/49578891012_a574b16814_o.png,35,4000
36,3000,https://farm66.staticflickr.com/65535/48769608892_f667ca75c4_z.jpg,CC,unofficial/000036.jpg,,,https://farm66.staticflickr.com/65535/48769608892_1a27cfa232_o.png,36,4000
37,3000,https://farm66.staticflickr.com/65535/52225277965_150bf326c7_z.jpg,CC,unofficial/000037.jpg,,,https://farm66.staticflickr.com/65535/52225277965_510d924cc7_o.png,37,4000
38,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000038.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/764/hRScmttSlvOryCLthzqU5I5zfMhtKYoMyNPcGDDR.jpeg,38,4032
39,1824,https://farm66.staticflickr.com/65535/48758597956_4300794813_z.jpg,CC,unofficial/000039.jpg,,,https://farm66.staticflickr.com/65535/48758597956_387fe5f472_o.png,39,4000
40,3000,https://farm66.staticflickr.com/65535/48846559463_19a8e14e7b_z.jpg,CC,unofficial/000040.jpg,,,https://farm66.staticflickr.com/65535/48846559463_48a4a124c5_o.png,40,4000
41,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000041.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/11/13/UXBNCRUvvMYH4FDUaAUwmIeZDGUNDKBcHWb6PdAX.jpeg,41,2048
42,4032,,ODBL (c) OpenLitterMap & Contributors,unofficial/000042.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/764/lfYixjW1fhYZ99I5304CqE1AQf0Z3YTsYeL57ukh.jpeg,42,3024
43,3264,,ODBL (c) OpenLitterMap & Contributors,unofficial/000043.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/08/21/wPYGF8QSd83oAg7Ce1rpiIyzbFfVmjNDS7AKKTkQ.jpeg,43,2448
44,480,,ODBL (c) OpenLitterMap & Contributors,unofficial/000044.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/09/04/axC2DAqPfrq3VRziT1DHVOa6iPEYDIG3uBdle7BF.jpeg,44,640
45,4656,,ODBL (c) OpenLitterMap & Contributors,unofficial/000045.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/09/04/mm17KHcOaJqc8mAWsRzYySAYV43hp69lBybHG423.jpeg,45,3492
46,2268,https://farm66.staticflickr.com/65535/48421436446_90af0b461f_z.jpg,CC,unofficial/000046.jpg,,,https://farm66.staticflickr.com/65535/48421436446_3b0eca2487_o.png,46,4032
47,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000047.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/12/14/Kv4P6u4JHp8HJqDo9k3fRhOFPtSVPJ5KVt2SuUQB.jpeg,47,2048
48,1824,https://farm66.staticflickr.com/65535/48721751681_fdc5214286_z.jpg,CC,unofficial/000048.jpg,,,https://farm66.staticflickr.com/65535/48721751681_fa078856a0_o.png,48,4000
49,3000,https://farm66.staticflickr.com/65535/49578893342_705528da82_z.jpg,CC,unofficial/000049.jpg,,,https://farm66.staticflickr.com/65535/49578893342_bd7c0262b3_o.png,49,4000
50,640,,ODBL (c) OpenLitterMap & Contributors,unofficial/000050.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/11/06/iea9xoABkXTXZvRojfyjjPNZ6e9MKtX9qk4lwosM.jpeg,50,480
51,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000051.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/764/NUjQoF6iBkUQ9rJumZplWYzpbHloODYd77uZ8KnN.jpeg,51,4032
52,3024,https://farm66.staticflickr.com/65535/51619470733_67a6080745_z.jpg,CC,unofficial/000052.jpg,,,https://farm66.staticflickr.com/65535/51619470733_70359bf7eb_o.png,52,4032
53,3024,https://farm66.staticflickr.com/65535/51619909334_34ea26f112_z.jpg,CC,unofficial/000053.jpg,,,https://farm66.staticflickr.com/65535/51619909334_3c8ab90b59_o.png,53,4032
54,4000,https://farm66.staticflickr.com/65535/50833302008_3457316e81_z.jpg,CC,unofficial/000054.jpg,,,https://farm66.staticflickr.com/65535/50833302008_c5bf274c8c_o.png,54,3000
55,3000,https://farm66.staticflickr.com/65535/49042710446_44b94888cc_z.jpg,CC,unofficial/000055.jpg,,,https://farm66.staticflickr.com/65535/49042710446_ce0e3327b4_o.png,55,4000
56,2048,,ODBL (c) OpenLitterMap & Contributors,unofficial/000056.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/01/21/2CPCOmqGPrLY89vXF77sPRHc9sHs04jxnci9OVnB.jpeg,56,1536
57,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000057.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/25/3xq0AJbMlA1k9cQb5XBvtw8MLrUxxgcSlQWDfIJT.jpeg,57,2048
58,4032,,ODBL (c) OpenLitterMap & Contributors,unofficial/000058.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/12/31/dDrQqFHdTIrmu5gTeiCWReOq0ARTYls0N0KkEXYF.jpeg,58,3024
59,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000059.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/01/01/l8FMOkCjCaSSjFGq2xyVcZjN16XiWQVWEDyaozWo.jpeg,59,2048
60,4032,,ODBL (c) OpenLitterMap & Contributors,unofficial/000060.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/06/20/10VCgrcJv7prcaqmnkt8w7xKiRwSB0rYkcrP8O7d.jpeg,60,3024
61,3000,https://farm66.staticflickr.com/65535/49056306972_837c799dce_z.jpg,CC,unofficial/000061.jpg,,,https://farm66.staticflickr.com/65535/49056306972_b27fea7aac_o.png,61,4000
62,3000,https://farm66.staticflickr.com/65535/52224795901_a764b5c3fc_z.jpg,CC,unofficial/000062.jpg,,,https://farm66.staticflickr.com/65535/52224795901_9b7f38fb8c_o.png,62,4000
63,4000,https://farm66.staticflickr.com/65535/48758615951_5af96bd0fd_z.jpg,CC,unofficial/000063.jpg,,,https://farm66.staticflickr.com/65535/48758615951_605573f699_o.png,63,1824
64,4000,https://farm66.staticflickr.com/65535/52527931791_83f0c28278_z.jpg,CC,unofficial/000064.jpg,,,https://farm66.staticflickr.com/65535/52527931791_11bf1cb8ce_o.png,64,3000
65,480,,ODBL (c) OpenLitterMap & Contributors,unofficial/000065.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/09/XCunbFcI8RoK0TM9RYjADK1aYtpdokbn6Esq3uXL.jpeg,65,640
66,3000,https://farm66.staticflickr.com/65535/48847119087_8de9687b92_z.jpg,CC,unofficial/000066.jpg,,,https://farm66.staticflickr.com/65535/48847119087_3893fdb732_o.png,66,4000
67,1824,https://farm66.staticflickr.com/65535/48742634657_3772d355a9_z.jpg,CC,unofficial/000067.jpg,,,https://farm66.staticflickr.com/65535/48742634657_67ff4e999c_o.png,67,4000
68,783,https://farm66.staticflickr.com/65535/50834143146_c2c0f81f0e_z.jpg,CC,unofficial/000068.jpg,,,https://farm66.staticflickr.com/65535/50834143146_9b5a0aa950_o.png,68,840
69,3000,https://farm66.staticflickr.com/65535/48781974687_a73e1d8bce_z.jpg,CC,unofficial/000069.jpg,,,https://farm66.staticflickr.com/65535/48781974687_81c55b1459_o.png,69,4000
70,3000,https://farm66.staticflickr.com/65535/48769415971_575b3b5b90_z.jpg,CC,unofficial/000070.jpg,,,https://farm66.staticflickr.com/65535/48769415971_98080b2dac_o.png,70,4000
71,3000,https://farm66.staticflickr.com/65535/49042921327_d5a9404f0e_z.jpg,CC,unofficial/000071.jpg,,,https://farm66.staticflickr.com/65535/49042921327_ae7a4473cb_o.png,71,4000
72,3000,https://farm66.staticflickr.com/65535/49042203118_e0d052ce62_z.jpg,CC,unofficial/000072.jpg,,,https://farm66.staticflickr.com/65535/49042203118_0e2d976c71_o.png,72,4000
73,4000,https://farm66.staticflickr.com/65535/48758803642_4cae63c06e_z.jpg,CC,unofficial/000073.jpg,,,https://farm66.staticflickr.com/65535/48758803642_4244f3253c_o.png,73,1824
74,3492,,ODBL (c) OpenLitterMap & Contributors,unofficial/000074.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/09/25/y3s4HRgk3qtGJPbqgWMVWh0Wxm2kpnuK2cgyk0Kd.jpeg,74,4656
75,4000,https://farm66.staticflickr.com/65535/49043001647_c2e221835c_z.jpg,CC,unofficial/000075.jpg,,,https://farm66.staticflickr.com/65535/49043001647_10ecda429a_o.png,75,3000
76,4000,,ODBL (c) OpenLitterMap & Contributors,unofficial/000076.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/676/hNLQvIhTbHYAlVrzMBNRwYTyjWCcrbOAhKhwH5us.jpeg,76,3000
77,3000,https://farm66.staticflickr.com/65535/51276182769_d5cf37a138_z.jpg,CC,unofficial/000077.jpg,,,https://farm66.staticflickr.com/65535/51276182769_9e4e0a8724_o.png,77,4000
78,3000,https://farm66.staticflickr.com/65535/51321454825_ac9e368c0e_z.jpg,CC,unofficial/000078.jpg,,,https://farm66.staticflickr.com/65535/51321454825_f056e069c9_o.png,78,4000
79,3024,,ODBL (c) OpenLitterMap & Contributors,unofficial/000079.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/764/kCUChaxNlTI3TopF5XgAd21YPcGEg9IWqouPkEQd.jpeg,79,4032
80,4000,https://farm66.staticflickr.com/65535/49578688731_8240709ca6_z.jpg,CC,unofficial/000080.jpg,,,https://farm66.staticflickr.com/65535/49578688731_9f3a8251c1_o.png,80,3000
81,3264,,ODBL (c) OpenLitterMap & Contributors,unofficial/000081.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/07/08/JDjR2Gc58gAdRQMGeJf6giEGzaQ7T1gRx8YIsma5.jpeg,81,2448
82,3264,,ODBL (c) OpenLitterMap & Contributors,unofficial/000082.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/08/14/8BFPo3SOOw9jSxTaFHH0WtwF1pFQLWW1ZOCaIqpp.jpeg,82,2448
83,3000,https://farm66.staticflickr.com/65535/48794988366_da83bd05a9_z.jpg,CC,unofficial/000083.jpg,,,https://farm66.staticflickr.com/65535/48794988366_216215135c_o.png,83,4000
84,3000,https://farm66.staticflickr.com/65535/49042141923_bffb76ca77_z.jpg,CC,unofficial/000084.jpg,,,https://farm66.staticflickr.com/65535/49042141923_8777a311a3_o.png,84,4000
85,402,https://farm66.staticflickr.com/65535/50834207822_710c609a62_z.jpg,CC,unofficial/000085.jpg,,,https://farm66.staticflickr.com/65535/50834207822_3b03ab1029_o.png,85,1389
86,4160,,ODBL (c) OpenLitterMap & Contributors,unofficial/000086.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/04/21/1ubOdyfmxgYzdmjxcwf5zQqaglCyrgtqVIffDiJF.jpeg,86,3120
87,2048,,ODBL (c) OpenLitterMap & Contributors,unofficial/000087.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/01/21/TV9voYRaNUvjaChkuQMWwtCZN0AkniviBBhhOuu4.jpeg,87,1536
88,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000088.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/15/jVvPSxPGI7S4TF9l1K9C8ZAmQ8rjLfdYdUBsnSDx.jpeg,88,2048
89,3264,,ODBL (c) OpenLitterMap & Contributors,unofficial/000089.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/08/04/b5hm6C0OoN8a5XLCwqwAfcx9upooC3utsfDIW42m.jpeg,89,2448
90,3000,https://farm66.staticflickr.com/65535/48781411008_385ae40959_z.jpg,CC,unofficial/000090.jpg,,,https://farm66.staticflickr.com/65535/48781411008_ddba29c59c_o.png,90,4000
91,2448,https://farm66.staticflickr.com/65535/48661472551_92a977dbe8_z.jpg,CC,unofficial/000091.jpg,,,https://farm66.staticflickr.com/65535/48661472551_cac79a109f_o.png,91,3264
92,3000,https://farm66.staticflickr.com/65535/49043012007_828fcf13e5_z.jpg,CC,unofficial/000092.jpg,,,https://farm66.staticflickr.com/65535/49043012007_db249f16b1_o.png,92,4000
93,3000,https://farm66.staticflickr.com/65535/48794724701_d942a7e392_z.jpg,CC,unofficial/000093.jpg,,,https://farm66.staticflickr.com/65535/48794724701_31c62383c1_o.png,93,4000
94,4000,https://farm66.staticflickr.com/65535/49578678556_1377f62fe0_z.jpg,CC,unofficial/000094.jpg,,,https://farm66.staticflickr.com/65535/49578678556_e5a202aedb_o.png,94,3000
95,1960,https://farm66.staticflickr.com/65535/51618568742_268b050b31_z.jpg,CC,unofficial/000095.jpg,,,https://farm66.staticflickr.com/65535/51618568742_dce278651d_o.png,95,4032
96,4208,https://farm66.staticflickr.com/65535/49578163733_86d8279097_z.jpg,CC,unofficial/000096.jpg,,,https://farm66.staticflickr.com/65535/49578163733_8312e5b303_o.png,96,2368
97,3492,,ODBL (c) OpenLitterMap & Contributors,unofficial/000097.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/09/18/PHH60nzs3U5T3DnvU8v558iZVoOPkXGvoF1VMZJZ.jpeg,97,4656
98,3000,https://farm66.staticflickr.com/65535/48781944122_77bde2d7c8_z.jpg,CC,unofficial/000098.jpg,,,https://farm66.staticflickr.com/65535/48781944122_a929f48f51_o.png,98,4000
99,1824,https://farm66.staticflickr.com/65535/48701144556_9422ff7968_z.jpg,CC,unofficial/000099.jpg,,,https://farm66.staticflickr.com/65535/48701144556_d8b524038e_o.png,99,4000
100,3000,https://farm66.staticflickr.com/65535/49494485677_cc077afcca_z.jpg,CC,unofficial/000100.jpg,,,https://farm66.staticflickr.com/65535/49494485677_0f6fb76df6_o.png,100,4000
101,3000,https://farm66.staticflickr.com/65535/48781818691_8a173004f5_z.jpg,CC,unofficial/000101.jpg,,,https://farm66.staticflickr.com/65535/48781818691_d847bc2b4d_o.png,101,4000
102,3492,,ODBL (c) OpenLitterMap & Contributors,unofficial/000102.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/09/04/PD8gOIiR3ayFeR3ES49CX94Ta1NXFi5Mxpq0B7F6.jpeg,102,4656
103,3000,https://farm66.staticflickr.com/65535/49056316127_d122cca0b9_z.jpg,CC,unofficial/000103.jpg,,,https://farm66.staticflickr.com/65535/49056316127_38248ff50b_o.png,103,4000
104,2448,https://farm66.staticflickr.com/65535/48580512827_5c78c1b379_z.jpg,CC,unofficial/000104.jpg,,,https://farm66.staticflickr.com/65535/48580512827_bc8e041776_o.png,104,3264
105,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000105.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/05/GqRKtOteFQB5inJ6s3QxoXsXy7pfOTMNP1ChVBlw.jpeg,105,2048
106,4000,https://farm66.staticflickr.com/65535/50834036126_b3bc8403e2_z.jpg,CC,unofficial/000106.jpg,,,https://farm66.staticflickr.com/65535/50834036126_6eb2f69068_o.png,106,3000
107,3000,https://farm66.staticflickr.com/65535/49043009942_5fe1c93bd7_z.jpg,CC,unofficial/000107.jpg,,,https://farm66.staticflickr.com/65535/49043009942_5d1b292479_o.png,107,4000
108,3000,https://farm66.staticflickr.com/65535/48781408113_8be6bb8af6_z.jpg,CC,unofficial/000108.jpg,,,https://farm66.staticflickr.com/65535/48781408113_b58d293f6d_o.png,108,4000
109,1824,https://farm66.staticflickr.com/65535/48701318452_e6477b6b85_z.jpg,CC,unofficial/000109.jpg,,,https://farm66.staticflickr.com/65535/48701318452_5f5d383f70_o.png,109,4000
110,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000110.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/01/01/kYozneAhRVtbsKxk8lghXv4sa0bg5aXdpiup052a.jpeg,110,2048
111,1824,https://farm66.staticflickr.com/65535/48726985941_a4b22d4e17_z.jpg,CC,unofficial/000111.jpg,,,https://farm66.staticflickr.com/65535/48726985941_540d143708_o.png,111,4000
112,3000,https://farm66.staticflickr.com/65535/49578171793_de9eb8fd11_z.jpg,CC,unofficial/000112.jpg,,,https://farm66.staticflickr.com/65535/49578171793_91c1210888_o.png,112,4000
113,1200,https://farm66.staticflickr.com/65535/48575628637_9882d0e99e_z.jpg,CC,unofficial/000113.jpg,,,https://farm66.staticflickr.com/65535/48575628637_f8568d1065_o.png,113,1600
114,3000,https://farm66.staticflickr.com/65535/49042914772_bbcb6eda38_z.jpg,CC,unofficial/000114.jpg,,,https://farm66.staticflickr.com/65535/49042914772_4426ee32ff_o.png,114,4000
115,480,,ODBL (c) OpenLitterMap & Contributors,unofficial/000115.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/11/06/hLv8UC3o0tHDtAjS1vpcpEqOZtbHecLd1UtJkGYi.jpeg,115,640
116,3000,https://farm66.staticflickr.com/65535/48781779711_0b54aa192a_z.jpg,CC,unofficial/000116.jpg,,,https://farm66.staticflickr.com/65535/48781779711_1f8de0877d_o.png,116,4000
117,2448,https://farm66.staticflickr.com/65535/48359205442_7998c20fac_z.jpg,CC,unofficial/000117.jpg,,,https://farm66.staticflickr.com/65535/48359205442_433e0e042b_o.png,117,3264
118,3000,https://farm66.staticflickr.com/65535/48846917796_ce001376a4_z.jpg,CC,unofficial/000118.jpg,,,https://farm66.staticflickr.com/65535/48846917796_c7d3b8e82d_o.png,118,4000
119,3000,https://farm66.staticflickr.com/65535/49042698821_13627d7737_z.jpg,CC,unofficial/000119.jpg,,,https://farm66.staticflickr.com/65535/49042698821_ff683ccf8d_o.png,119,4000
120,4000,https://farm66.staticflickr.com/65535/52224805958_258ca9ee01_z.jpg,CC,unofficial/000120.jpg,,,https://farm66.staticflickr.com/65535/52224805958_dde1c2241e_o.png,120,3000
121,3000,https://farm66.staticflickr.com/65535/49494260593_256a882dbe_z.jpg,CC,unofficial/000121.jpg,,,https://farm66.staticflickr.com/65535/49494260593_ea8994de5d_o.png,121,4000
122,3000,https://farm66.staticflickr.com/65535/49042214948_39e051faee_z.jpg,CC,unofficial/000122.jpg,,,https://farm66.staticflickr.com/65535/49042214948_8ac3f63084_o.png,122,4000
123,720,https://farm66.staticflickr.com/65535/50834019066_5d38151f33_z.jpg,CC,unofficial/000123.jpg,,,https://farm66.staticflickr.com/65535/50834019066_231c7ea52b_o.png,123,720
124,3120,,ODBL (c) OpenLitterMap & Contributors,unofficial/000124.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/20/RuTrQ3LyBB3DaVsPp50BeResl4XEZkGoK3tbu1uN.jpeg,124,4160
125,4160,,ODBL (c) OpenLitterMap & Contributors,unofficial/000125.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/04/17/yvZh2sbn0Dbd2wYgyDdJh1YdaB5Znq5aCQuxgz2R.jpeg,125,3120
126,4032,,ODBL (c) OpenLitterMap & Contributors,unofficial/000126.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2019/06/02/ofxPPmqDHLWfrYcNHVuORxQ68XXQJIBkLjGqPoQg.jpeg,126,3024
127,1536,,ODBL (c) OpenLitterMap & Contributors,unofficial/000127.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/15/9fMs4OlKhjpkMO9huKLvTP2RWUClpmbKu8wtgOTu.jpeg,127,2048
128,3492,,ODBL (c) OpenLitterMap & Contributors,unofficial/000128.jpg,,,https://olm-s3.s3.eu-west-1.amazonaws.com/2018/10/16/gyx9yIqh8zwVunTLGfnIpfA1kMvxYwFv962f7nH7.jpeg,128,4656
129,2448,https://farm66.staticflickr.com/65535/48497690647_dc6f4ea166_z.jpg,CC,unofficial/000129.jpg,,,https://farm66.staticflickr.com/65535/48497690647_995403597a_o.png,129,3264
